Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Fundamentos do Big Data: Técnicas e Conceitos,"O Big Data é uma grande novidade. Mas o que é Big Data e como podemos usá-lo? Simplificando, Big Data são dados que, em virtude de sua velocidade, volume ou variedade (os três vês), não podem ser facilmente armazenados ou analisados usando métodos tradicionais. As planilhas e bancos de dados relacionais não bastam para trabalhar com Big Data. Neste curso, Barton Poulson fala dos métodos que realmente funcionam, apresentando todas as técnicas e conceitos envolvidos na captura, armazenamento, manipulação e análise de Big Data, inclusive mineração de dados e análise preditiva. Ele explica a relação entre Big Data e ciência de dados, estatística e programação; seus usos em marketing, pesquisa científica e ferramentas como o mecanismo de recomendações da Amazon; e as questões éticas subjacentes à sua utilização.",Course,2021-09-18 15:46 UTC,N/A,false,N/A,
Fundamentos da Ciência de Dados,"Este curso de introdução proporciona uma visão abrangente da ciência de dados moderna: a prática da coleta, exploração, modelagem e interpretação de dados. Embora a maioria das pessoas só pense no ""grande assunto"", o Big Data, há muitas outras áreas e conceitos a investigar. Barton Poulson aborda disciplinas como programação, estatística, matemática, aprendizado de máquina, análise e visualização de dados e, é claro, Big Data. Ele explica por que existe tanta demanda por cientistas de dados atualmente e as competências necessárias para ter sucesso em diferentes tarefas. Barton mostra como obter dados de repositórios legítimos de código aberto por meio de Web APIs e scraping de páginas, além de apresentar tecnologias (R, Python e SQL) e técnicas (máquinas de vetores de suporte e florestas aleatórias) específicas para análise. Ao final do curso, você deve entender melhor o papel da ciência de dados na obtenção de conhecimentos expressivos a partir dos grandes e complexos conjuntos de dados ao nosso redor.",Course,2021-07-06 21:54 UTC,N/A,false,N/A,
Desenvolvimento de Software Remoto: Como Aumentar sua Produtividade,"Neste curso, descubra as características do trabalho remoto e suas particularidades no desenvolvimento de software, bem como algumas recomendações para aumentar sua produtividade: da gestão do tempo e configuração do espaço de trabalho ao desenvolvimento de competências interpessoais críticas para o teletrabalho. Ao terminar o curso, você será capaz de lidar com o trabalho remoto mais eficazmente, melhorando sua eficiência, desempenho e competências de forma imediata.",Course,2021-05-12 09:53 UTC,N/A,false,N/A,
LinkedIn para Estudantes,"Este é um curso focado em estudantes ou profissionais em início de carreira, que mostra passo a passo como construir e manter atualizado um perfil profissional completo, atrativo e relevante e como usar todos os recursos que o LinkedIn oferece para conectar-se com outros profissionais, buscar vagas e compartilhar ideias e aprendizados.",Course,2021-06-14 09:38 UTC,N/A,false,N/A,
Pensamento Estratégico,"Pensamento estratégico é a capacidade de pensar em escalas grande e pequena, em prazos longo e curto, no passado e no presente. Embora o pensamento estratégico seja uma competência valiosa para todo profissional, fica mais crítico quando se escala a pirâmide organizacional. Na verdade, você pode ter dificuldade para ser promovido, ou ter sucesso como líder sem ele. No entanto, ninguém ensina formalmente o pensamento estratégico — por isso, é essencial tomar a iniciativa e aprender como aplicá-lo. Este curso prepara gerentes e líderes para que usem o pensamento estratégico ao dar direção a suas equipes e buscar soluções para problemas de negócios. Especialista em carreiras e marca pessoal, Dorie Clark mostra como reservar tempo para pensar em estratégia, obter dados, aprender com o passado, criar uma visão para o futuro e implantar o pensamento estratégico em sua equipe.",Course,2021-04-20 22:05 UTC,N/A,false,N/A,
Como Influenciar as Pessoas,"Já teve problemas para convencer alguém a fazer algo, mesmo pensando no melhor para a pessoa? Às vezes as pessoas não cedem, mas felizmente existem outras ferramentas à disposição além de recompensas e punições. Junte-se a John Ullmen, PhD, que vai lhe explicar como influenciar as pessoas em momentos decisivos aplicando 18 métodos cientificamente comprovados. Seja para influenciar no trabalho ou em casa, você vai aprender o que as pessoas mais influentes fazem antes de exercer influência. Saiba como escolher os melhores passos em cada situação e como fazer para que as pessoas queiram ser influenciadas por você.",Course,2020-01-03 11:16 UTC,N/A,false,N/A,
Como Desenvolver a Autoconfiança,"A confiança é fundamental para o sucesso pessoal e profissional. Pessoas sem confiança tendem a perder novos desafios, relacionamentos e oportunidades. A boa notícia é que a autoconfiança se autoperpetua: uma vez desenvolvida, a confiança pode impulsionar você de uma situação para outra. Neste curso, o Dr. Todd Dewett, autor e educador, apresenta técnicas simples e práticas para desenvolver e manter a autoconfiança. No primeiro capítulo, ele ensina como assumir responsabilidade pela situação, aceitar suas imperfeições e tomar providências para seguir em frente. No segundo capítulo, você aprenderá a preservar sua confiança interação após interação, associando-se às pessoas certas, mantendo uma perspectiva positiva e elaborando um plano.",Course,2021-04-03 20:16 UTC,N/A,false,N/A,
Inventor 2022 esencial,"Amplía y expande tus habilidades sobre el modelado mecánico 3D con Autodesk Inventor y este curso. Conoce las herramientas y técnicas esenciales de este sistema de diseño paramétrico, desde la creación de un proyecto básico hasta el ensamblado de piezas, pasando por el modelado de componentes y otros muchos conceptos clave. Este curso está compuesto o puede incluir vídeos de otros cursos ya publicados.",Course,2021-09-09 14:53 UTC,N/A,false,N/A,
Fundamentos de Programação: Design Orientado a Objetos,"Esse curso é para programadores que querem conhecer ou revisitar os conceitos fundamentais do design e análise orientado a objetos. Independente da linguagem de programação que utiliza, esse curso pode te servir. Não vamos escrever uma linha de código, vamos em vez fazer toda a análise e planejamento necessários para começar a programar. O objetivo é que você use essas estratégias e documentação gerada nos seus projetos de programação. Vamos falar sobre casos de uso, histórias de usuários, FURPS+, cartões CRC, classes, objetos, polimorfismo, encapsulamento, instâncias, construtores, sobrecarga de métodos e muito mais.",Course,2021-09-11 20:30 UTC,N/A,false,N/A,
Como Aproveitar ao Máximo o LinkedIn,"Este é um curso básico para qualquer profissional interessado em aprender a usar o Linkedin em todo seu potencial. 

Conecte-se a novos contatos, encontre oportunidades profissionais e compartilhe conteúdo para ampliar sua voz e presença na rede. Com um perfil completo e atrativo, você estará se destacando e acessando as melhores oportunidades.

Não perca este passo a passo que te ajudará a construir um perfil campeão, atual e relevante, aproveitando tudo o que o Linkedin pode oferecer a você.",Course,2021-01-04 09:18 UTC,N/A,false,N/A,
Fundamentos do Scrum,"Se você passou algum tempo no mundo do gerenciamento de projetos, já deve ter ouvido falar do Scrum — a famosa estrutura para gerenciamento de processos complexos. Se essa estrutura misteriosa despertou seu interesse, este curso vai ajudar você a adquirir uma compreensão básica do que é Scrum e como iniciar sua implementação no trabalho. Acompanhe Kelley O'Connell, especialista em Scrum, enquanto ela explica porque essa metodologia conquistou o mundo empresarial e como ela é usada para organizar a equipe e o trabalho. Kelly também esclarece como gerenciar projetos e avaliar seu andamento, além de definir metas de melhoria gerenciáveis.",Course,2021-04-06 01:45 UTC,N/A,false,N/A,
Como Liderar e Incentivar Equipes Virtuais para Estimular a Motivação no Trabalho ,"Aprender a se comunicar, incentivar e gerenciar remotamente é fundamental quando sua equipe trabalha de forma virtual e precisa atingir um nível satisfatório de produtividade. Quer seja por decisão própria, quer seja por eventos externos que obrigaram a adotar o trabalho remoto, como a pandemia de COVID-19, é necessária uma comunicação muito mais otimizada. Neste curso, você aprenderá a aproveitar ao máximo as interações digitais, facilitando o entendimento e a cooperação, evitando a insensibilidade que o feedback sem o contato humano pode causar, aumentando o nível de envolvimento e, portanto, criando experiências mais positivas para você e sua equipe.",Course,2021-08-11 09:27 UTC,N/A,false,N/A,
Excel 2019: Formação Básica,"Esse curso possui uma abordagem focada nas principais ferramentas do Excel na sua versão 2019 e na produtividade de profissionais por meio de execuções, atalhos e facilidades que são ensinadas ao longo das aulas. São desenvolvidas planilhas, análises e execuções em casos semelhantes ao dia a dia de profissionais.",Course,2020-10-09 09:36 UTC,N/A,false,N/A,
Descubra o Python,"O Python é uma linguagem orientada a objetos, popular, altamente legível, poderosa e relativamente fácil de aprender. Se você é iniciante em programação ou um desenvolvedor experiente, este curso pode ajudar você a começar a usá-la. Danielle Monteiro fornece uma visão geral do processo de instalação, sintaxe básica do Python e um exemplo de como construir e executar um programa Python simples. Aprenda a trabalhar com datas e horas, ler e gravar arquivos e recuperar e analisar dados HTML, JSON e XML da Web, além de acessar dados em bancos de dados relacionais e NoSQL.",Course,2020-09-24 19:16 UTC,N/A,false,N/A,
Power BI: Formação Básica,"Descubra como obter insights rapidamente de seus dados usando o Power BI. Esse formidável conjunto de ferramentas pode ajudá-lo a criar e compartilhar visualizações com mais eficácia com outras pessoas em sua organização. Esse curso o ajudará a começar a usar esse poderoso conjunto de ferramentas. Começamos abordando o Power BI Serviço baseado na web, explicando como importar dados, criar visualizações bem como organizá-las em relatórios, como fixar visualizações em painéis para compartilhamento com outras pessoas e como fazer perguntas sobre seus dados com o Power BI P&R. Além do Power BI Serviço, também teremos uma visão geral sobre o Power BI Desktop e o Power BI para celulares.",Course,2021-08-08 19:21 UTC,N/A,false,N/A,
Como Passar do Modelo em Cascata ao Modelo Ágil na Gestão de Projetos,"Se sua organização deseja aproveitar os benefícios de tempo, qualidade e custo da gestão de projetos Ágil, este curso é para você. A especialista em Ágil Kelley O'Connell ajuda os interessados a entender as diferenças entre os métodos tradicionais em cascata e o método Ágil, além de o que é necessário para uma transição bem-sucedida. Ela dá dicas de como obter apoio para um projeto-piloto: identificando os apoiadores desde o início e mantendo-os engajados, ao mesmo tempo que responde aos críticos. Então, ela conduz você pelo processo de escolha do projeto-piloto, selecionando a equipe certa e definindo a visão, e explora os fundamentos do Ágil para que possa começar. Por fim, aprenda como realizar uma análise retrospectiva do piloto e identificar os impulsionadores para expandir a utilização do Ágil.",Course,2021-08-12 09:55 UTC,N/A,false,N/A,
Truques Criativos para Líderes,"Esta série de vídeos curtos aborda pequenas doses de ideias e ferramentas para estimular sua criatividade, exercitar suas conexões neuronais e desenvolver hábitos criativos que você pode usar individualmente no dia a dia e compartilhar com sua equipe. Todos os exercícios são cem por cento práticos e podem ser facilmente ajustados às suas necessidades e projetos. Prepare-se para brincar com papel, rabiscos e ideias, como quando você era criança e um pequeno estímulo era suficiente para deixar sua criatividade voar.",Course,2020-12-17 01:49 UTC,N/A,false,N/A,
Técnicas de Persuasão em Vendas,"Entender como as pessoas pensam e se comportam é fundamental para dominar a arte da persuasão e é um ingrediente essencial para qualquer venda bem-sucedida. Neste curso, Brian Ahearn utiliza o trabalho de psicólogos sociais e economistas comportamentais para fornecer informações concretas e práticas, além de ideias facilmente aproveitáveis em cada estágio do processo de vendas. Para começar, aprenda quais são os oito conceitos psicológicos que você pode empregar em todo o fluxo de trabalho de vendas: reciprocidade, simpatia, aprovação social, autoridade, coerência, escassez, comparação/contraste e porquê. Em seguida, entenda o papel desses conceitos nos estágios iniciais do ciclo de vendas e saiba como eles podem ajudar a perceber as qualidades do seu cliente ideal, fazer apresentações, tratar de objeções, negociar, fechar a venda e pedir indicações. Por fim, saiba como crescer com cada venda realizada e continuar aperfeiçoando sua abordagem.",Course,2020-12-10 21:27 UTC,N/A,false,N/A,
Fundamentos de Análise de Dados,"No curso de Fundamentos de Análise de Dados, exploraremos conceitos importantes sobre dados, o papel do analista de dados, da governança de dados e a importância de coletá-los, tratá-los e modelá-los corretamente. Além dessa estrutura conceitual, também serão exibidas na prática algumas execuções analíticas no Microsoft Access, assim como a apresentação desses dados no Power Point. Por último, obtenha atalhos úteis para aumentar a produtividade e dicas de solução de problemas para o programa de análise de dados mais popular, o Microsoft Excel.",Course,2021-04-13 12:41 UTC,N/A,false,N/A,
Como Falar em Público,"Desenvolva as habilidades necessárias para preparar e fazer excelentes discursos e apresentações com nosso treinamento sobre como falar em público. A autora Laura Bergells oferece ideias práticas para auxiliar apresentadores na preparação, abertura, desenvolvimento e encerramento de seus discursos. Ao longo do curso, aprenda a projetar confiança, estruturar uma apresentação, receber perguntas, responder de forma sensata e desenvolver histórias criativas que dão vida a uma apresentação.",Course,2021-03-20 10:05 UTC,N/A,false,N/A,
Descubra o SQL,"SQL (Structured Query Language) é a linguagem padrão para manipular dados em bancos de dados relacionais, como SQL Server, Oracle, MySQL, MariaDB e PostgreSQL. 
Este curso tem como objetivo te conduzir na descoberta desta linguagem tão fantástica e tão amplamente usada.
Saiba como buscar, ordenar, agrupar, classificar, alterar, deletar e incluir dados no seu banco de dados. 
Sua meta, portanto, é que você compreenda a linguagem SQL e não apenas decore os comandos mais conhecidos como o SELECT, INSERT, DELETE, UPDATE!",Course,2021-09-10 13:06 UTC,2021-09-10 12:48 UTC,false,N/A,
Liderança com Inovação,"Nenhuma organização sobrevive sem inovação. Grandes ou pequenas, novas ou antigas, com ou sem fins lucrativos, todas as organizações precisam continuar a se transformar para ter êxito. Mas como você mantém a inovação contínua? Os especialistas em estratégia Anil Gupta e Haiyan Wang descrevem a lógica central da inovação e como os líderes de muitas companhias e organizações sem fins lucrativos — incluindo Apple, Amazon, Google e Khan Academy — estimulam a inovação sem perder o controle. Eles descrevem as várias formas — incluindo Design Thinking, startups enxutas e inovação colaborativa — pelas quais qualquer organização pode inovar. Mostram, ainda, como as organizações podem mudar as regras do jogo ao redefinir os clientes-alvo, repensar a proposta de valor para o cliente e/ou reestruturar a cadeia de valor. E discutem os “porquês” e “comos” da transformação digital e da inovação social. Use estas estratégias para descobrir novos caminhos para a inovação em sua organização. ",Course,2021-03-23 22:24 UTC,N/A,false,N/A,
Gestão Ágil de Projetos com o Microsoft Project,"Aprenda a usar o Microsoft Project para gerenciar projetos ágeis e híbridos!
Neste curso demonstraremos a gestão de projetos ágeis criando campos personalizados para rastrear elementos ágeis, tais como funcionalidades e sprints, gerenciando e atualizando listas de tarefas ágeis conforme o trabalho é concluído no Microsoft Project. 
Aprenda também a acompanhar o progresso do projeto ágil, a gerar relatórios de burndown e determinar a velocidade da sua equipe, bem como gerenciar um projeto híbrido, combinando gestões tradicional e ágil lado a lado.
Por fim, conheça as novas ferramentas ágeis incorporadas nativamente ao cliente Project Online deskop.",Course,2021-02-27 23:49 UTC,N/A,false,N/A,
Como se Comunicar com Confiança,"Muitas pessoas têm medo de falar em público, mas a comunicação oral efetiva é uma habilidade fundamental nos negócios. Jeff Ansell fornece ferramentas, estratégias e dicas de comunicação simples, que são fáceis de usar e geram resultados imediatos. Ele ajudará você a parecer mais confiante, usar seu corpo e a linguagem para expressar melhor as ideias e superar a ansiedade. No último capítulo do curso, todos esses conceitos são reunidos em dois exercícios reais de coaching, que ajudarão você a ver as técnicas na prática.",Course,2021-05-31 02:28 UTC,N/A,false,N/A,
Mulheres na Tecnologia: Como Romper a Barreira de Gênero,"Inicie-se na tecnologia rompendo a barreira de gênero. Desenvolva competências para mitigar a desigualdade, ganhar visibilidade, construir uma rede, escolher os projetos certos e abrir caminho para mudanças. A série <i>Mulheres na Tecnologia</i> tem como objetivo ajudar mulheres que desejem trabalhar <i>e</i> permanecer no setor de tecnologia. Neste minicurso, Lori Mackenzie, professora da Stanford Graduate School of Business e diretora executiva do Clayman Institute for Gender Research, explica o que as mulheres podem fazer para romper o preconceito implícito e explícito e sair na frente. Com estas dicas, você pode começar sua carreira com tudo — e transformar o setor de tecnologia de dentro para fora.",Course,2021-06-24 09:27 UTC,N/A,false,N/A,
Como Cultivar a Competência Cultural e a Inclusão no Ambiente de Trabalho,"Os ambientes de trabalho inclusivos podem gerar soluções mais criativas, aumentar o moral dos colaboradores e beneficiar os resultados financeiros de uma empresa. Embora cada vez mais empresas modernas avancem rumo à verdadeira inclusão no local de trabalho, muitas ainda fracassam na tentativa. Isso geralmente é devido à falta de competência cultural, ou capacidade de compreender e se adaptar às diferenças culturais. Neste curso, a instrutora Mary-Frances Winters explica por que a competência cultural é a chave para o sucesso de qualquer iniciativa relacionada à diversidade e como avaliar e desenvolver sua própria competência cultural. Ela compartilha cenários e técnicas que podem ajudar você a entender como sua visão do mundo afeta seu comportamento e como compreender e se adaptar de forma mais eficaz às diferenças culturais.",Course,2021-08-31 16:53 UTC,N/A,false,N/A,
Como Causar uma Boa Impressão em um Primeiro Encontro,"As primeiras impressões são importantes. Quer você esteja entrando em uma reunião, participando de uma entrevista ou negociação, precisa saber como construir um bom relacionamento de forma imediata. Por sorte, causar uma primeira impressão duradoura não é uma competência inata — há uma ciência por trás disso. Neste curso, Vanessa Van Edwards — pesquisadora principal da Science of People, um laboratório de pesquisa do comportamento humano — compartilha estratégias baseadas em pesquisas que podem ajudar você a se destacar nos primeiros segundos de qualquer interação. Vanessa explora a linguagem corporal necessária para causar uma primeira impressão envolvente, os sinais vocais para soar mais confiante tanto pessoalmente quanto ao telefone e as melhores saudações para iniciar uma ótima conversa. Além disso, obtenha dicas para transformar uma conversa entediante em um diálogo animado e memorável.",Course,2021-08-24 23:58 UTC,N/A,false,N/A,
Gestão Ágil no Trabalho: Relatórios com Gráficos e Quadros Ágeis,"Equipes ágeis precisam de um método acessível para relatar o progresso. Os relatórios ágeis devem ser simples e fáceis de ler, radiando informações para todos os membros da equipe. Neste curso, o especialista em gestão ágil Doug Rose descreve um processo para relatar o desenvolvimento de seu projeto ágil. Ele mostra como priorizar o backlog do produto, atualizar o quadro de tarefas e monitorar a evolução do projeto com gráficos de burndown. Além disso, ele explica como evitar as armadilhas mais comuns, por exemplo, a readaptação de documentos e o trabalho com equipes distribuídas.  Bônus: assista ao capítulo adicional no fim deste curso, em que Doug responde a perguntas comuns sobre a mentalidade ágil, incluindo que tipos de projetos melhor se adequam a essa gestão.",Course,2021-01-23 16:07 UTC,N/A,false,N/A,
Fundamentos de Gestão de Mudanças,"Mudanças são difíceis, mas necessárias para que as empresas prosperem e sobrevivam. Você - como líder ou gerente - pode ajudar a implementar novos processos e iniciativas de negócios usando a gestão de mudanças organizacionais (OCM, na sigla em inglês). Neste curso, o consultor e especialista em gestão da mudança, Bob McGannon, aborda os princípios e técnicas necessárias para impulsionar mudanças  em projetos de uma determinada área de negócios ou em toda uma organização. Ele ajuda você a preparar, gerenciar e apoiar o processo de mudança, descrevendo as cinco fases envolvidas e as oito competências necessárias para o sucesso. Bob também ajuda a entender as etapas da mudança em âmbito individual, para ajudar os membros da equipe e as partes interessadas a se adaptarem.",Course,2021-01-08 21:41 UTC,N/A,false,N/A,
Seis Sigma: Green Belt,"O Seis Sigma é uma metodologia voltada ao cliente, apoiada em dados e amplamente utilizada para analisar e melhorar o desempenho de processos, produtos e serviços. Neste curso, obtenha a formação necessária para se tornar um Green Belt em Seis Sigma. Os Green Belts lideram ou participam de projetos Seis Sigma em período parcial, sob orientação de um Black Belt. O especialista em excelência operacional, instrutor Master Black Belt e professor universitário Dr. Richard Chua explica como usar o Seis Sigma e suas ferramentas de processo, qualidade e estatísticas, preparando você para se tornar um Green Belt em Seis Sigma.
Dr. Richard Chua utiliza como base seus cursos Fundamentos do Seis Sigma e Conceitos de Minitab, tratando de uma série de assuntos, como análise do sistema de medição, estatísticas descritivas, teste de hipóteses, delineamento de experimentos, controle estatístico de processos e muito mais.",Course,2021-03-31 08:56 UTC,N/A,false,N/A,
Liderança com Inteligência Emocional,"As emoções estão por toda parte no trabalho, e é importante que os líderes entendam como aproveitá-las para estimular a produtividade e relacionamentos construtivos. Neste curso, Britt Andreatta mostra como desenvolver a inteligência emocional para atuar melhor ao liderar equipes, trabalhar com os colegas e gerenciar as relações com os superiores.
Saiba o que é inteligência emocional, conheça sua importância no trabalho e aprenda técnicas práticas para elevar seu próprio quociente emocional (QE). Isso inclui ter uma percepção precisa de si mesmo, exercer o autocontrole emocional, praticar a resiliência e desenvolver a empatia. Em seguida, use essas lições para desenvolver sua consciência do outro, aprendendo a inspirar as pessoas a se comunicarem de forma útil e gerenciar conflitos.",Course,2020-12-18 22:18 UTC,N/A,false,N/A,
Comunicação na Liderança 4.0: O Poder da Síntese,"Neste breve curso de áudio, você aprenderá um pouco sobre como um verdadeiro líder se comunica nos dias de hoje, a fim de se fazer ouvido e, também, ouvir seus colaboradores. A comunicação não depende somente da junção das palavras que saem de nossas bocas, mas também de como elas são recebidas pelo outro. Por isso, é essencial buscar continuamente a clareza e a relevância da comunicação para obter sucesso profissional. 
Esse curso é recomendado para líderes que desejam conhecer estratégias e dicas para aperfeiçoar sua comunicação e a de seu time.		
Descubra mais sobre esse assunto tão importante, que promove sinergia e cooperação entre sua equipe! Seja bem vindo ao curso Comunicação 4.0!",Course,2020-11-11 09:18 UTC,N/A,false,N/A,
Python para Ciência de Dados: Formação Básica,"Ao usar o Python para obter o valor de dados brutos, você pode simplificar a jornada muitas vezes complexa que é transformar dados em informação. Neste curso prático com muita mão na massa, aprenda como usar o Python e as mais diversas bibliotecas utilizadas em ciência de dados hoje para preparar, coletar e visualizar dados e também a realizar diversos tipos de análise. Aprenda também a aplicar diversas técnicas supervisionadas e não-supervisionadas de machine learning, como capturar dados disponíveis na internet e também como fazer diversos tipos de visualizações.",Course,2021-07-01 01:13 UTC,N/A,false,N/A,
Como Desenvolver sua Inteligência Emocional,"A inteligência emocional pode ajudar você a construir relacionamentos eficazes no trabalho. A coach executiva e psicóloga organizacional Gemma Roberts explica o que é inteligência emocional e sua importância. Ela ajudará você a se tornar mais autoconsciente, para que consiga identificar os gatilhos emocionais que podem comprometer seu desempenho. Ela também auxiliará você a conciliar suas intenções e o impacto que deseja causar, para que você possa construir relacionamentos sólidos e colaborativos.",Course,2020-12-03 23:15 UTC,N/A,false,N/A,
